Id,Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Seed per Pound
35511,Late Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Slow,Medium,No,Moderate,800000
35594,,,,,,,,,,,,,,,,,,,,
35639,Summer,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,No,No,Yes,No,Slow,Low,No,Slow,2000000
35659,,,,,,,,,,,,,,,,,,,,
89751,,,,,,,,,,,,,,,,,,,,
44077,Late Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Low,No,None,2982354
83748,,,,,,,,,,,,,,,,,,,,
91870,,,,,,,,,,,,,,,,,,,,
89856,,,,,,,,,,,,,,,,,,,,
36117,Fall,Routinely Available,Medium,Fall,Fall,No,Yes,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,1464516
36143,Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,Moderate,High,No,None,2000000
36186,Late Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Moderate,504000
36212,,,,,,,,,,,,,,,,,,,,
36227,,,,,,,,,,,,,,,,,,,,
36245,Late Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,Moderate,630000
36265,Late Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Moderate,High,No,Moderate,196360
36339,Late Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,Yes,Moderate,Medium,No,Rapid,75666
36349,,,,,,,,,,,,,,,,,,,,
73127,,,,,,,,,,,,,,,,,,,,
73132,,,,,,,,,,,,,,,,,,,,
73126,,,,,,,,,,,,,,,,,,,,
74048,Early Summer,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Rapid,Medium,No,Moderate,47569
91943,,,,,,,,,,,,,,,,,,,,
92054,,,,,,,,,,,,,,,,,,,,
66037,Mid Summer,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,
66050,Summer,Routinely Available,Low,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,200000
48282,,,,,,,,,,,,,,,,,,,,
48300,,,,,,,,,,,,,,,,,,,,
92324,,,,,,,,,,,,,,,,,,,,
87828,,,,,,,,,,,,,,,,,,,,
28744,Early Spring,Routinely Available,Low,Spring,Summer,No,No,No,No,Yes,No,Yes,No,No,No,Slow,Medium,No,Slow,
83642,Indeterminate,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,High,No,None,700000
83653,Indeterminate,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,High,No,None,700000
27431,,,,,,,,,,,,,,,,,,,,
27615,,,,,,,,,,,,,,,,,,,,
27619,,,,,,,,,,,,,,,,,,,,
27620,Spring,Routinely Available,Low,Summer,Fall,No,No,Yes,No,No,No,Yes,No,No,No,Slow,Medium,No,Moderate,
72325,,,,,,,,,,,,,,,,,,,,
48923,Late Spring,Routinely Available,Medium,Spring,Fall,No,Yes,No,No,No,No,No,No,No,No,Moderate,High,No,Rapid,350000
16464,Summer,Routinely Available,,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Rapid,High,No,Rapid,
79847,Late Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,None,174000
79866,Late Summer,No Known Source,High,Fall,Winter,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,175000
37426,Late Summer,No Known Source,Medium,Fall,Winter,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,290000
37462,Late Summer,Routinely Available,Low,Summer,Fall,No,No,No,Yes,Yes,No,Yes,No,No,No,Slow,Low,No,Slow,100000
37468,,,,,,,,,,,,,,,,,,,,
28769,,,,,,,,,,,,,,,,,,,,
28836,,,,,,,,,,,,,,,,,,,,
42478,Summer,Routinely Available,Medium,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,11292758
42561,,,,,,,,,,,,,,,,,,,,
86072,,,,,,,,,,,,,,,,,,,,
80872,,,,,,,,,,,,,,,,,,,,
45838,Early Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,Yes,Moderate,Medium,No,None,3025308
45866,Summer,Routinely Available,Medium,Fall,Winter,Yes,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Moderate,108000
28891,,,,,,,,,,,,,,,,,,,,
27143,,,,,,,,,,,,,,,,,,,,
45887,Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,No,No,No,No,No,No,No,Moderate,Medium,No,None,
45201,Spring,Routinely Available,,Spring,Summer,No,Yes,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,225000
92484,,,,,,,,,,,,,,,,,,,,
51235,Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,Moderate,High,No,Moderate,4000000
51509,,,,,,,,,,,,,,,,,,,,
45953,,,,,,,,,,,,,,,,,,,,
45955,Summer,Routinely Available,Medium,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Slow,1272500
45971,,,,,,,,,,,,,,,,,,,,
45974,,,,,,,,,,,,,,,,,,,,
71666,,,,,,,,,,,,,,,,,,,,
71742,,,,,,,,,,,,,,,,,,,,
86182,Late Spring,Contracting Only,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Moderate,High,No,None,1376000
86339,Summer,No Known Source,Medium,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,3780000
56850,,,,,,,,,,,,,,,,,,,,
16384,,,,,,,,,,,,,,,,,,,,
75287,,,,,,,,,,,,,,,,,,,,
38300,,,,,,,,,,,,,,,,,,,,
38305,Early Spring,Routinely Available,Medium,Summer,Summer,No,No,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Moderate,450000
