Id,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,CaCO3 Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Planting Density per Acre, Maximum","Planting Density per Acre, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)"
35511,No,Yes,Yes,Low,Medium,No,Low,Medium,High,90,None,Medium,6.9,4.9,4800,1700,55,35,10,None,Tolerant,-28
35594,,,,,,,,,,,,,,,,,,,,,,
35639,No,Yes,Yes,Medium,Low,No,Low,Medium,High,120,None,High,7.0,4.5,4800,1200,50,35,16,None,Intermediate,-28
35659,,,,,,,,,,,,,,,,,,,,,,
89751,,,,,,,,,,,,,,,,,,,,,,
44077,No,No,Yes,Low,Low,No,Medium,High,Medium,100,None,Medium,7.2,5.8,,,60,36,6,None,Intermediate,-38
83748,,,,,,,,,,,,,,,,,,,,,,
91870,,,,,,,,,,,,,,,,,,,,,,
89856,,,,,,,,,,,,,,,,,,,,,,
36117,Yes,Yes,Yes,Low,High,No,Low,Low,None,100,None,Medium,7.5,4.0,27000,19212,60,10,6,Low,Intolerant,-43
36143,Yes,Yes,Yes,None,Low,No,Medium,Medium,Low,140,None,Low,7.5,4.5,10912,3450,60,20,6,None,Intolerant,-28
36186,Yes,No,Yes,None,Medium,No,Medium,Low,Medium,160,None,Medium,7.0,4.0,10912,3450,65,25,6,None,Intermediate,-28
36212,,,,,,,,,,,,,,,,,,,,,,
36227,,,,,,,,,,,,,,,,,,,,,,
36245,Yes,Yes,Yes,None,Medium,Yes,Medium,Medium,Medium,90,None,Medium,7.3,5.8,18000,11000,40,20,12,None,Intolerant,-43
36265,Yes,Yes,Yes,None,Medium,Yes,Medium,Medium,High,90,None,Medium,8.0,6.0,18000,11000,35,18,16,Low,Intolerant,-33
36339,Yes,No,Yes,None,Medium,No,High,Medium,Medium,100,None,Low,7.0,4.0,10912,4800,55,15,6,Low,Intermediate,-43
36349,,,,,,,,,,,,,,,,,,,,,,
73127,,,,,,,,,,,,,,,,,,,,,,
73132,,,,,,,,,,,,,,,,,,,,,,
73126,,,,,,,,,,,,,,,,,,,,,,
74048,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,High,110,None,High,7.3,5.4,,,45,14,12,None,Intolerant,-38
91943,,,,,,,,,,,,,,,,,,,,,,
92054,,,,,,,,,,,,,,,,,,,,,,
66037,No,Yes,Yes,High,Low,No,Low,Medium,High,140,None,High,7.2,5.5,2700,1700,60,32,12,None,Intermediate,-13
66050,No,Yes,Yes,High,Medium,No,None,Medium,Low,160,None,High,7.5,4.0,3450,2728,65,35,10,Low,Intolerant,-13
48282,,,,,,,,,,,,,,,,,,,,,,
48300,,,,,,,,,,,,,,,,,,,,,,
92324,,,,,,,,,,,,,,,,,,,,,,
87828,,,,,,,,,,,,,,,,,,,,,,
28744,No,Yes,Yes,Medium,Medium,No,Medium,Medium,High,120,None,Medium,7.3,5.2,11000,4800,55,18,7,None,Intermediate,-33
83642,Yes,Yes,Yes,Low,Low,No,Low,Medium,Medium,95,None,Medium,7.4,6.4,,,50,14,14,None,Tolerant,32
83653,Yes,Yes,Yes,Low,High,No,Low,Medium,Medium,110,None,Medium,7.4,6.8,,,50,28,14,None,Tolerant,32
27431,,,,,,,,,,,,,,,,,,,,,,
27615,,,,,,,,,,,,,,,,,,,,,,
27619,,,,,,,,,,,,,,,,,,,,,,
27620,No,Yes,Yes,High,Low,No,None,Medium,None,200,None,High,7.3,4.8,10912,2728,65,45,6,None,Tolerant,12
72325,,,,,,,,,,,,,,,,,,,,,,
48923,Yes,Yes,Yes,High,Medium,No,Low,Low,Low,140,None,Medium,7.6,5.4,10912,3450,60,35,10,None,Tolerant,-28
16464,No,No,No,High,Medium,No,None,Medium,,100,None,High,8.8,4.1,4800,3500,,,0,Low,Intolerant,-38
79847,Yes,No,Yes,None,Medium,No,High,Low,High,140,None,Low,8.2,5.7,,,45,19,18,None,Intolerant,-28
79866,Yes,Yes,Yes,None,Medium,Yes,Medium,Low,High,200,None,Low,6.9,5.8,,,60,30,9,None,Intolerant,-13
37426,Yes,Yes,Yes,None,Medium,No,Medium,Low,High,200,None,Low,6.8,5.8,,,65,30,9,Low,Intolerant,7
37462,No,Yes,Yes,Medium,Low,No,Low,Low,High,165,None,Medium,7.5,5.6,7000,2700,60,35,14,Low,Intermediate,-18
37468,,,,,,,,,,,,,,,,,,,,,,
28769,,,,,,,,,,,,,,,,,,,,,,
28836,,,,,,,,,,,,,,,,,,,,,,
42478,No,No,Yes,Low,Medium,No,Medium,Medium,Low,130,None,Low,7.8,5.8,10912,2728,60,28,12,None,Tolerant,-34
42561,,,,,,,,,,,,,,,,,,,,,,
86072,,,,,,,,,,,,,,,,,,,,,,
80872,,,,,,,,,,,,,,,,,,,,,,
45838,No,Yes,Yes,High,Medium,No,Low,Medium,High,120,None,High,7.8,5.2,10000,2700,60,12,10,Low,Tolerant,-38
