Id,Symbol,ScientificName,CommonName,Group,Durations,GrowthHabits
19732,SCAT2,<i>Scirpus atrovirens</i> Willd.,green bulrush,Monocot,['Perennial'],['Graminoid']
19736,SCCY,<i>Scirpus cyperinus</i> (L.) Kunth,woolgrass,Monocot,['Perennial'],['Graminoid']
19768,SCPE4,<i>Scirpus pendulus</i> Muhl.,rufous bulrush,Monocot,['Perennial'],['Graminoid']
25695,SONU2,<i>Sorghastrum nutans</i> (L.) Nash,Indiangrass,Monocot,['Perennial'],['Graminoid']
26962,SPAM,<i>Sparganium americanum</i> Nutt.,American bur-reed,Monocot,['Perennial'],['Forb/herb']
25851,SPHE,<i>Sporobolus heterolepis</i> (A. Gray) A. Gray,prairie dropseed,Monocot,['Perennial'],['Graminoid']
26132,TRFL2,<i>Tridens flavus</i> (L.) Hitchc.,purpletop tridens,Monocot,['Perennial'],['Graminoid']
26161,TRDA3,<i>Tripsacum dactyloides</i> (L.) L.,eastern gamagrass,Monocot,['Perennial'],['Graminoid']
27001,TYLA,<i>Typha latifolia</i> L.,broadleaf cattail,Monocot,['Perennial'],['Forb/herb']
26483,ZIMI,<i>Zizaniopsis miliacea</i> (Michx.) Döll & Asch.,giant cutgrass,Monocot,['Perennial'],['Graminoid']
31206,ACMI2,<i>Achillea millefolium</i> L.,common yarrow,Dicot,['Perennial'],['Forb/herb']
16268,ACAM,<i>Acorus americanus</i> (Raf.) Raf.,sweetflag,Monocot,['Perennial'],['Forb/herb']
16271,ACCA4,<i>Acorus calamus</i> L.,calamus,Monocot,['Perennial'],['Forb/herb']
72484,ACPA,<i>Actaea pachypoda</i> Elliott,white baneberry,Dicot,['Perennial'],['Forb/herb']
72494,ACRAR,<i>Actaea racemosa</i> L. var. <i>racemosa </i>,black bugbane,Dicot,['Perennial'],['Forb/herb']
31339,AGAL5,<i>Ageratina altissima</i> (L.) R.M. King & H. Rob.,white snakeroot,Dicot,['Perennial'],['Forb/herb']
15744,ALSU,<i>Alisma subcordatum</i> Raf.,American water plantain,Monocot,['Perennial'],['Forb/herb']
27903,ALCE2,<i>Allium cernuum</i> Roth,nodding onion,Monocot,['Perennial'],['Forb/herb']
43228,AMTA2,<i>Amsonia tabernaemontana</i> Walter,eastern bluestar,Dicot,['Perennial'],['Forb/herb']
72538,ANLA,<i>Anemone lancifolia</i> Pursh,mountain thimbleweed,Dicot,['Perennial'],['Forb/herb']
72594,ANQU,<i>Anemone quinquefolia</i> L.,wood anemone,Dicot,['Perennial'],['Forb/herb']
31762,ANNE,<i>Antennaria neglecta</i> Greene,field pussytoes,Dicot,['Perennial'],['Forb/herb']
31814,ANPL,<i>Antennaria plantaginifolia</i> (L.) Richardson,woman's tobacco,Dicot,['Perennial'],['Forb/herb']
31911,ANVI13,<i>Antennaria virginica</i> Stebbins,shale barren pussytoes,Dicot,['Perennial'],['Forb/herb']
72621,AQCA,<i>Aquilegia canadensis</i> L.,red columbine,Dicot,['Perennial'],['Forb/herb']
16310,ARDR3,<i>Arisaema dracontium</i> (L.) Schott,green dragon,Monocot,['Perennial'],['Forb/herb']
16316,ARTR,<i>Arisaema triphyllum</i> (L.) Schott,Jack in the pulpit,Monocot,['Perennial'],['Forb/herb']
32298,ARLU,<i>Artemisia ludoviciana</i> Nutt.,white sagebrush,Dicot,['Perennial'],"['Forb/herb', 'Subshrub']"
88802,ARDI8,<i>Aruncus dioicus</i> (Walter) Fernald,bride's feathers,Dicot,['Perennial'],['Forb/herb']
71268,ASCA,<i>Asarum canadense</i> L.,Canadian wildginger,Dicot,['Perennial'],['Forb/herb']
43539,ASIN,<i>Asclepias incarnata</i> L.,swamp milkweed,Dicot,['Perennial'],['Forb/herb']
43580,ASQU,<i>Asclepias quadrifolia</i> Jacq.,fourleaf milkweed,Dicot,['Perennial'],['Forb/herb']
43599,ASSY,<i>Asclepias syriaca</i> L.,common milkweed,Dicot,['Perennial'],['Forb/herb']
43605,ASTU,<i>Asclepias tuberosa</i> L.,butterfly milkweed,Dicot,['Perennial'],['Forb/herb']
43619,ASVA,<i>Asclepias variegata</i> L.,redring milkweed,Dicot,['Perennial'],['Forb/herb']
43621,ASVE,<i>Asclepias verticillata</i> L.,whorled milkweed,Dicot,['Perennial'],['Forb/herb']
68486,HYHYH,<i>Hypericum hypericoides</i> (L.) Crantz ssp. <i>hypericoides </i>,St. Andrew's cross,Dicot,['Perennial'],"['Shrub', 'Subshrub']"
77136,ASCA11,<i>Astragalus canadensis</i> L.,Canadian milkvetch,Dicot,['Perennial'],['Forb/herb']
78033,BAAU,<i>Baptisia australis</i> (L.) R. Br.,blue wild indigo,Dicot,['Perennial'],['Forb/herb']
78085,BATI,<i>Baptisia tinctoria</i> (L.) R. Br.,horseflyweed,Dicot,['Perennial'],['Forb/herb']
32620,BIAR,<i>Bidens aristosa</i> (Michx.) Britton,bearded beggarticks,Dicot,"['Annual', 'Biennial']",['Forb/herb']
32652,BICE,<i>Bidens cernua</i> L.,nodding beggartick,Dicot,['Annual'],['Forb/herb']
32705,BIFR,<i>Bidens frondosa</i> L.,devil's beggartick,Dicot,['Annual'],['Forb/herb']
12726,SERU,<i>Selaginella rupestris</i> (L.) Spring,northern selaginella,Lycopod,['Perennial'],['Forb/herb']
72708,CAPA5,<i>Caltha palustris</i> L.,yellow marsh marigold,Dicot,['Perennial'],['Forb/herb']
78361,CHFA2,<i>Chamaecrista fasciculata</i> (Michx.) Greene,partridge pea,Dicot,['Annual'],['Forb/herb']
50704,CHGL2,<i>Chelone glabra</i> L.,white turtlehead,Dicot,['Perennial'],['Forb/herb']
33399,CHVI5,<i>Chrysogonum virginianum</i> L.,green and gold,Dicot,['Perennial'],['Forb/herb']
33436,CHMA14,<i>Chrysopsis mariana</i> (L.) Elliott,Maryland goldenaster,Dicot,['Perennial'],['Forb/herb']
72807,CLOC,<i>Clematis ochroleuca</i> Aiton,curlyheads,Dicot,['Perennial'],"['Forb/herb', 'Subshrub']"
78506,CLMA4,<i>Clitoria mariana</i> L.,Atlantic pigeonwings,Dicot,['Perennial'],"['Forb/herb', 'Vine']"
16911,COER,<i>Commelina erecta</i> L.,whitemouth dayflower,Monocot,['Perennial'],['Forb/herb']
33849,COCO13,<i>Conoclinium coelestinum</i> (L.) DC.,blue mistflower,Dicot,['Perennial'],['Forb/herb']
28406,COMA19,<i>Convallaria majuscula</i> Greene,American lily-of-the-valley,Monocot,['Perennial'],['Forb/herb']
33940,COLA5,<i>Coreopsis lanceolata</i> L.,lanceleaf tickseed,Dicot,['Perennial'],['Forb/herb']
33987,COTR4,<i>Coreopsis tripteris</i> L.,tall tickseed,Dicot,['Perennial'],['Forb/herb']
33992,COVE5,<i>Coreopsis verticillata</i> L.,whorled tickseed,Dicot,['Perennial'],['Forb/herb']
45660,CUOR,<i>Cunila origanoides</i> (L.) Britton,common dittany,Dicot,['Perennial'],"['Forb/herb', 'Subshrub']"
84380,DEVE,<i>Decodon verticillatus</i> (L.) Elliott,swamp loosestrife,Dicot,['Perennial'],"['Shrub', 'Subshrub']"
73087,DETR,<i>Delphinium tricorne</i> Michx.,dwarf larkspur,Dicot,['Perennial'],['Forb/herb']
79106,DEPA6,<i>Desmodium paniculatum</i> (L.) DC.,panicledleaf ticktrefoil,Dicot,['Perennial'],['Forb/herb']
71832,DICU,<i>Dicentra cucullaria</i> (L.) Bernh.,dutchman's breeches,Dicot,['Perennial'],['Forb/herb']
71836,DIEX,<i>Dicentra eximia</i> (Ker Gawl.) Torr.,turkey corn,Dicot,['Perennial'],['Forb/herb']
34298,DOUM2,<i>Doellingeria umbellata</i> (Mill.) Nees,parasol whitetop,Dicot,['Perennial'],['Forb/herb']
34475,ECPU,<i>Echinacea purpurea</i> (L.) Moench,eastern purple coneflower,Dicot,['Perennial'],['Forb/herb']
34506,ELCA3,<i>Elephantopus carolinianus</i> Raeusch.,Carolina elephantsfoot,Dicot,['Perennial'],['Forb/herb']
15884,ELCA7,<i>Elodea canadensis</i> Michx.,Canadian waterweed,Monocot,['Perennial'],['Forb/herb']
85932,EPCO,<i>Epilobium coloratum</i> Biehler,purpleleaf willowherb,Dicot,['Perennial'],['Forb/herb']
12212,EQAR,<i>Equisetum arvense</i> L.,field horsetail,Horsetail,['Perennial'],['Forb/herb']
12228,EQHY,<i>Equisetum hyemale</i> L.,scouringrush horsetail,Horsetail,['Perennial'],['Forb/herb']
35138,ERPH,<i>Erigeron philadelphicus</i> L.,Philadelphia fleabane,Dicot,"['Biennial', 'Perennial']",['Forb/herb']
35163,ERPU,<i>Erigeron pulchellus</i> Michx.,robin's plantain,Dicot,['Perennial'],['Forb/herb']
60308,ERAL5,<i>Eriogonum allenii</i> S. Watson,shale barren buckwheat,Dicot,['Perennial'],['Forb/herb']
74019,ERYU,<i>Eryngium yuccifolium</i> Michx.,button eryngo,Dicot,['Perennial'],['Forb/herb']
28499,ERAM5,<i>Erythronium americanum</i> Ker Gawl.,dogtooth violet,Monocot,['Perennial'],['Forb/herb']
35396,EUHY,<i>Eupatorium hyssopifolium</i> L.,hyssopleaf thoroughwort,Dicot,['Perennial'],['Forb/herb']
35415,EUPE3,<i>Eupatorium perfoliatum</i> L.,common boneset,Dicot,['Perennial'],['Forb/herb']
35438,EUSE3,<i>Eupatorium sessilifolium</i> L.,upland boneset,Dicot,['Perennial'],['Forb/herb']
76059,EUCO10,<i>Euphorbia corollata</i> L.,flowering spurge,Dicot,['Perennial'],['Forb/herb']
35469,EUDI16,<i>Eurybia divaricata</i> (L.) G.L. Nesom,white wood aster,Dicot,['Perennial'],['Forb/herb']
35511,EUMA27,<i>Eurybia macrophylla</i> (L.) Cass.,bigleaf aster,Dicot,['Perennial'],['Forb/herb']
35594,EUGR5,<i>Euthamia graminifolia</i> (L.) Nutt.,flat-top goldentop,Dicot,['Perennial'],['Forb/herb']
